■ sigunguName ; 광주광역시 북구, sigunguCode : 29170, urlCon : OK, 200, line : 112147
■ sigunguName ; 광주광역시 광산구, sigunguCode : 29200, urlCon : OK, 200, line : 107517
■ sigunguName ; 대전광역시, sigunguCode : 30000, urlCon : OK, 200, line : 248
■ sigunguName ; 대전광역시 동구, sigunguCode : 30110, urlCon : OK, 200, line : 38566
■ sigunguName ; 대전광역시 중구, sigunguCode : 30140, urlCon : OK, 200, line : 42975
■ sigunguName ; 대전광역시 서구, sigunguCode : 30170, urlCon : OK, 200, line : 97582
■ sigunguName ; 대전광역시 유성구, sigunguCode : 30200, urlCon : OK, 200, line : 81882
■ sigunguName ; 대전광역시 대덕구, sigunguCode : 30230, urlCon : OK, 200, line : 27205
■ sigunguName ; 울산광역시, sigunguCode : 31000, urlCon : OK, 200, line : 248
■ sigunguName ; 울산광역시 중구, sigunguCode : 31110, urlCon : OK, 200, line : 25980
■ sigunguName ; 울산광역시 남구, sigunguCode : 31140, urlCon : OK, 200, line : 40113
■ sigunguName ; 울산광역시 동구, sigunguCode : 31170, urlCon : OK, 200, line : 16439
■ sigunguName ; 울산광역시 북구, sigunguCode : 31200, urlCon : OK, 200, line : 29426
■ sigunguName ; 울산광역시 울주군, sigunguCode : 31710, urlCon : OK, 200, line : 27106
■ sigunguName ; 세종특별자치시, sigunguCode : 36000, urlCon : OK, 200, line : 248
■ sigunguName ; 세종특별자치시, sigunguCode : 36110, urlCon : OK, 200, line : 48603
■ sigunguName ; 경기도, sigunguCode : 41000, urlCon : OK, 200, line : 248
■ sigunguName ; 경기도 수원시, sigunguCode : 41110, urlCon : OK, 200, line : 248
■ sigunguName ; 경기도 수원시 장안구, sigunguCode : 41111, urlCon : OK, 200, line : 43036
■ sigunguName ; 경기도 수원시 권선구, sigunguCode : 41113, urlCon : OK, 200, line : 50332
■ sigunguName ; 경기도 수원시 팔달구, sigunguCode : 41115, urlCon : OK, 200, line : 35429
■ sigunguName ; 경기도 수원시 영통구, sigunguCode : 41117, urlCon : OK, 200, line : 103439
■ sigunguName ; 경기도 성남시, sigunguCode : 41130, urlCon : OK, 200, line : 248
■ sigunguName ; 경기도 성남시 수정구, sigunguCode : 41131, urlCon : OK, 200, line : 28429
■ sigunguName ; 경기도 성남시 중원구, sigunguCode : 41133, urlCon : OK, 200, line : 39983
■ sigunguName ; 경기도 성남시 분당구, sigunguCode : 41135, urlCon : OK, 200, line : 278198
■ sigunguName ; 경기도 의정부시, sigunguCode : 41150, urlCon : OK, 200, line : 71727
■ sigunguName ; 경기도 안양시, sigunguCode : 41170, urlCon : OK, 200, line : 248
■ sigunguName ; 경기도 안양시 만안구, sigunguCode : 41171, urlCon : OK, 200, line : 45318
■ sigunguName ; 경기도 안양시 동안구, sigunguCode : 41173, urlCon : OK, 200, line : 121007
■ sigunguName ; 경기도 부천시, sigunguCode : 41190, urlCon : OK, 200, line : 111389
■ sigunguName ; 경기도 광명시, sigunguCode : 41210, urlCon : OK, 200, line : 85575
■ sigunguName ; 경기도 평택시, sigunguCode : 41220, urlCon : OK, 200, line : 53644
■ sigunguName ; 경기도 동두천시, sigunguCode : 41250, urlCon : OK, 200, line : 15378
■ sigunguName ; 경기도 안산시, sigunguCode : 41270, urlCon : OK, 200, line : 248
■ sigunguName ; 경기도 안산시 상록구, sigunguCode : 41271, urlCon : OK, 200, line : 21323
■ sigunguName ; 경기도 안산시 단원구, sigunguCode : 41273, urlCon : OK, 200, line : 30961
■ sigunguName ; 경기도 고양시, sigunguCode : 41280, urlCon : OK, 200, line : 248
■ sigunguName ; 경기도 고양시 덕양구, sigunguCode : 41281, urlCon : OK, 200, line : 82345
■ sigunguName ; 경기도 고양시 일산동구, sigunguCode : 41285, urlCon : OK, 200, line : 36520
■ sigunguName ; 경기도 고양시 일산서구, sigunguCode : 41287, urlCon : OK, 200, line : 65333
■ sigunguName ; 경기도 과천시, sigunguCode : 41290, urlCon : OK, 200, line : 25788
■ sigunguName ; 경기도 구리시, sigunguCode : 41310, urlCon : OK, 200, line : 29354
■ sigunguName ; 경기도 남양주시, sigunguCode : 41360, urlCon : OK, 200, line : 103301
■ sigunguName ; 경기도 오산시, sigunguCode : 41370, urlCon : OK, 200, line : 27237
■ sigunguName ; 경기도 시흥시, sigunguCode : 41390, urlCon : OK, 200, line : 61932
■ sigunguName ; 경기도 군포시, sigunguCode : 41410, urlCon : OK, 200, line : 50144
■ sigunguName ; 경기도 의왕시, sigunguCode : 41430, urlCon : OK, 200, line : 52250
■ sigunguName ; 경기도 하남시, sigunguCode : 41450, urlCon : OK, 200, line : 54983
■ sigunguName ; 경기도 용인시, sigunguCode : 41460, urlCon : OK, 200, line : 248
■ sigunguName ; 경기도 용인시 처인구, sigunguCode : 41461, urlCon : OK, 200, line : 20486
■ sigunguName ; 경기도 용인시 기흥구, sigunguCode : 41463, urlCon : OK, 200, line : 82635
■ sigunguName ; 경기도 용인시 수지구, sigunguCode : 41465, urlCon : OK, 200, line : 229378
■ sigunguName ; 경기도 파주시, sigunguCode : 41480, urlCon : OK, 200, line : 57931
■ sigunguName ; 경기도 이천시, sigunguCode : 41500, urlCon : OK, 200, line : 27285
■ sigunguName ; 경기도 안성시, sigunguCode : 41550, urlCon : OK, 200, line : 18635
■ sigunguName ; 경기도 김포시, sigunguCode : 41570, urlCon : OK, 200, line : 85899
■ sigunguName ; 경기도 화성시, sigunguCode : 41590, urlCon : OK, 200, line : 123543
■ sigunguName ; 경기도 광주시, sigunguCode : 41610, urlCon : OK, 200, line : 21395
■ sigunguName ; 경기도 양주시, sigunguCode : 41630, urlCon : OK, 200, line : 30744
■ sigunguName ; 경기도 포천시, sigunguCode : 41650, urlCon : OK, 200, line : 10941
■ sigunguName ; 경기도 여주시, sigunguCode : 41670, urlCon : OK, 200, line : 12437
■ sigunguName ; 경기도 연천군, sigunguCode : 41800, urlCon : OK, 200, line : 2021
■ sigunguName ; 경기도 가평군, sigunguCode : 41820, urlCon : OK, 200, line : 4809
■ sigunguName ; 경기도 양평군, sigunguCode : 41830, urlCon : OK, 200, line : 9061
■ sigunguName ; 강원도, sigunguCode : 42000, urlCon : OK, 200, line : 248
■ sigunguName ; 강원도 춘천시, sigunguCode : 42110, urlCon : OK, 200, line : 44452
■ sigunguName ; 강원도 원주시, sigunguCode : 42130, urlCon : OK, 200, line : 42935
■ sigunguName ; 강원도 강릉시, sigunguCode : 42150, urlCon : OK, 200, line : 30300
■ sigunguName ; 강원도 동해시, sigunguCode : 42170, urlCon : OK, 200, line : 10210
■ sigunguName ; 강원도 태백시, sigunguCode : 42190, urlCon : OK, 200, line : 7662
■ sigunguName ; 강원도 속초시, sigunguCode : 42210, urlCon : OK, 200, line : 19762
■ sigunguName ; 강원도 삼척시, sigunguCode : 42230, urlCon : OK, 200, line : 10858
■ sigunguName ; 강원도 홍천군, sigunguCode : 42720, urlCon : OK, 200, line : 5337
■ sigunguName ; 강원도 횡성군, sigunguCode : 42730, urlCon : OK, 200, line : 2379
■ sigunguName ; 강원도 영월군, sigunguCode : 42750, urlCon : OK, 200, line : 2503
■ sigunguName ; 강원도 평창군, sigunguCode : 42760, urlCon : OK, 200, line : 3772
■ sigunguName ; 강원도 정선군, sigunguCode : 42770, urlCon : OK, 200, line : 1463
■ sigunguName ; 강원도 철원군, sigunguCode : 42780, urlCon : OK, 200, line : 2355
■ sigunguName ; 강원도 화천군, sigunguCode : 42790, urlCon : OK, 200, line : 954
■ sigunguName ; 강원도 양구군, sigunguCode : 42800, urlCon : OK, 200, line : 600
■ sigunguName ; 강원도 인제군, sigunguCode : 42810, urlCon : OK, 200, line : 962
■ sigunguName ; 강원도 고성군, sigunguCode : 42820, urlCon : OK, 200, line : 2720
